plant_id,img_path,name_plant,field_id,description_plants,price_per_ton
1,1.jpg,Пшеница,1,"Пшеница высокого качества",300.50
2,2.jpg,Кукуруза,2,"Кукуруза для корма",150.75
3,3.jpg,Ячмень,3,"Ячмень для пивоварения",200.00
4,4.jpg,Мак,4,"Мак для кайфа",250.00
5,5.jpg,Картофель,5,"Картофель для ""Вкусно и Точка""",180.75
6,6.jpg,Томаты,6,"Томаты для соусов Heinz",320.50
7,7.jpg,Огурцы,7,"Огурцы для прикола",210.00
8,8.jpg,Рис,8,"Рис с высокими урожаями",400.00
9,9.jpg,Гречиха,9,"Гречиха для пищевой промышленности",230.50
10,10.jpg,Чечевица,10,"Чечевица с отличным качеством",275.00
11,11.jpg,Кукуруза,11,"Кукуруза для попкорна",195.00
12,12.jpg,Подсолнечник,12,"Подсолнечник для масла",320.00
13,13.jpg,Картофель,13,"Картофель высокого качества",150.00
14,14.jpg,Пшеница,14,"Пшеница для кормов и удобрений",175.00
15,15.jpg,Чеснок,15,"Чеснок с высокой насыщенностью",500.00
16,16.jpg,Свекла,16,"Свекла для производства сахара",190.00
17,17.jpg,Хмель,17,"Хмель для пивоварения",300.00
18,18.jpg,Мак,18,"Мак для опиума",145.00
19,19.jpg,Томаты,19,"Томаты для консервирования",340.00
20,20.jpg,Огурцы,20,"Огурцы для свежего потребления",220.00
